FID,id,navn,loebenummer,web_id,x,y,longitude,latitude,graffitirenhold,wkb_geometry
monumenter.1,49690,Efterår,115,167,724712.263534,6179443.037248,12.577001,55.708568,Ja,MULTIPOINT ((12.577000674229012 55.70856778229661))
monumenter.2,49865,H.W. Meyer,41,93,723888.874104,6178081.85755,12.56281,55.696741,Ja,MULTIPOINT ((12.562810238950165 55.69674138769442))
monumenter.3,49866,Sigurd Fafnersbane og slange,314,353,724293.902081,6178228.432224,12.569361,55.697869,Ja,MULTIPOINT ((12.569361482261764 55.69786887177536))
monumenter.4,50058,Satyr med bacchusbarn,21,67,724122.061749,6176324.162901,12.565077,55.680871,Ja,MULTIPOINT ((12.56507667919525 55.68087077600335))
monumenter.5,50063,Talerstol,290,330,724157.041343,6178457.03039,12.567375,55.699982,Ja,MULTIPOINT ((12.567375194374895 55.69998215768913))
monumenter.6,50066,Ole Syversen,38,90,724015.981189,6178451.419807,12.565131,55.699997,Ja,MULTIPOINT ((12.565130565582324 55.69999697232131))
monumenter.7,50104,L.N. Hvidt,14,1,724122.946833,6176302.296936,12.565073,55.680674,Ja,MULTIPOINT ((12.565072868858248 55.680674273292766))
monumenter.8,50140,Vinsugende satyrdreng,17,54,724356.331119,6176430.404599,12.568882,55.681715,Ja,MULTIPOINT ((12.568881928715596 55.68171538600541))
monumenter.9,50141,Københavns tredje og fjerde rådhus,174,219,724633.057041,6175993.633672,12.572917,55.677671,Nej,MULTIPOINT ((12.572916758452196 55.677670537080076))
monumenter.10,50143,Reformationsmonumentet,147,196,724551.933485,6176159.130707,12.571765,55.679192,Ja,MULTIPOINT ((12.571764659827734 55.67919221623399))
monumenter.11,50144,Skålfrugt,234,271,724661.946764,6176185.379004,12.573532,55.679377,Ja,MULTIPOINT ((12.57353222272707 55.67937673558195))
monumenter.12,50145,,,,724570.229848,6176180.842944,12.572073,55.679378,,MULTIPOINT ((12.572072817721077 55.67937847134039))
monumenter.13,50146,,,,724580.076416,6176156.724383,12.572209,55.679158,,MULTIPOINT ((12.572209361718668 55.67915762462216))
monumenter.14,50147,,,,724600.142949,6176197.963804,12.572562,55.679518,,MULTIPOINT ((12.572561597867413 55.679518178692575))
monumenter.15,50148,,,,724594.279262,6176195.529821,12.572467,55.679499,,MULTIPOINT ((12.57246653958395 55.67949906234168))
monumenter.16,50149,,,,724570.050065,6176214.835734,12.572098,55.679683,,MULTIPOINT ((12.572097780508045 55.67968339999852))
monumenter.17,50150,,,,724576.909472,6176217.933531,12.572209,55.679708,,MULTIPOINT ((12.572209186093376 55.67970800927624))
monumenter.18,50151,,,,724584.7646,6176221.418552,12.572337,55.679736,,MULTIPOINT ((12.572336712513504 55.67973563064355))
monumenter.19,50152,,,,724615.631934,6176235.192685,12.572838,55.679845,,MULTIPOINT ((12.572837904201736 55.67984488232484))
monumenter.20,50153,,,,724623.099837,6176238.677706,12.572959,55.679873,,MULTIPOINT ((12.572959285544382 55.67987268210841))
monumenter.21,50154,,,,724630.733694,6176241.996775,12.573083,55.679899,,MULTIPOINT ((12.57308316519322 55.67989891675748))
monumenter.22,50156,,,,724641.911903,6176246.566435,12.573264,55.679935,,MULTIPOINT ((12.573264323942885 55.6799347272003))
monumenter.23,50317,,,,724984.00991,6177489.6799,12.579713,55.690924,,MULTIPOINT ((12.57971349153348 55.69092445958454))
monumenter.24,50322,Abstrakt skulptur,266,301,723774.064799,6175608.723366,12.55897,55.674615,Ja,MULTIPOINT ((12.558969826180434 55.67461512466272))
monumenter.25,50323,,,,725567.467946,6177470.997177,12.588961,55.690486,,MULTIPOINT ((12.588961106377077 55.69048618783599))
monumenter.26,51070,Skurestribesten,189,233,721635.529843,6172202.059717,12.522283,55.645043,Ja,MULTIPOINT ((12.522282515256126 55.64504305715171))
monumenter.27,51071,Havtaske,223,262,721521.000668,6171763.19043,12.520113,55.641159,Nej,MULTIPOINT ((12.520112800965178 55.64115923853999))
monumenter.28,51511,,,,724213.947424,6176537.39788,12.566709,55.682741,,MULTIPOINT ((12.566709353963772 55.68274065611928))
monumenter.29,51559,Det lider mot skymning,34,85,724728.441197,6177295.745975,12.575497,55.689304,Ja,MULTIPOINT ((12.575497118279532 55.68930364633295))
monumenter.30,51790,Anders Lassen,272,309,726070.011772,6177284.686914,12.596786,55.688582,Ja,MULTIPOINT ((12.596785762578563 55.68858167274564))
monumenter.31,51791,Prinsesse Marie,67,121,726182.626789,6177462.595221,12.59872,55.690125,Ja,MULTIPOINT ((12.598720227808336 55.69012464897871))
monumenter.32,51792,Ejner Mikkelsen,229,266,726217.74024,6178033.698489,12.599749,55.69523,Ja,MULTIPOINT ((12.599748818606516 55.69522974870936))
monumenter.33,51793,Ivar Huitfeldt,66,120,726207.211489,6177518.395771,12.599157,55.690614,Ja,MULTIPOINT ((12.599156547113394 55.69061359592589))
monumenter.34,51794,Winston Churchill,193,236,726055.460258,6177299.995376,12.596567,55.688726,Ja,MULTIPOINT ((12.596567375734343 55.68872572937361))
monumenter.35,51813,Frederik IX,252,286,726174.469824,6177403.864249,12.598542,55.689602,Ja,MULTIPOINT ((12.598542298031106 55.68960176885663))
monumenter.36,51814,Mindesmærke for to danske soldater dekoreret med Victoriakorset under 1. Verdenskrig,365,476,726060.109346,6177317.932506,12.596656,55.688884,Ja,MULTIPOINT ((12.596655963638625 55.6888844195019))
monumenter.37,51815,Neapolitansk fiskerdreng,49,102,725763.740357,6177278.050027,12.591918,55.688665,Ja,MULTIPOINT ((12.591918252196374 55.6886646601748))
monumenter.38,51816,Liggende pige,155,201,725627.27736,6177471.472228,12.589911,55.690463,Ja,MULTIPOINT ((12.58991101865533 55.69046265663856))
monumenter.39,51817,Danske spaniensfrivillige,263,298,725963.042936,6177218.64488,12.595033,55.688039,Ja,MULTIPOINT ((12.59503323405845 55.68803922049561))
monumenter.40,51818,Danaide,50,103,725725.763295,6177351.363786,12.591376,55.68934,Ja,MULTIPOINT ((12.591375702583736 55.6893397761594))
monumenter.41,51819,Såret kvinde,220,259,726000.644346,6177251.179221,12.595657,55.688313,Ja,MULTIPOINT ((12.595656951745577 55.688313478597564))
monumenter.42,51820,Gefionspringvandet,106,159,726119.58382,6177369.724194,12.597643,55.689321,Ja,MULTIPOINT ((12.59764282000107 55.68932117658981))
monumenter.43,51821,Finnebørnsmonumentet,320,393,725925.277283,6177209.145656,12.594426,55.687972,Ja,MULTIPOINT ((12.594425890978826 55.687971607893985))
monumenter.44,51822,Valkyrie,44,96,725890.870928,6177200.652098,12.593873,55.687911,Ja,MULTIPOINT ((12.593872705810712 55.68791144798324))
monumenter.45,51823,Svømmeren ,45,97,726239.739012,6177851.430653,12.599948,55.693585,Ja,MULTIPOINT ((12.599947706640853 55.693584981926925))
monumenter.46,51824,Søfartsmonumentet,72,128,726080.393267,6177886.520055,12.597447,55.693974,Ja,MULTIPOINT ((12.597446722513501 55.69397388797975))
monumenter.47,51825,Mylius Erichsen,47,99,726251.028026,6177994.62663,12.600245,55.694864,Ja,MULTIPOINT ((12.600245103303676 55.69486385199356))
monumenter.48,51826,Hornmine,250,284,726065.559373,6177273.2236,12.596706,55.688481,Ja,MULTIPOINT ((12.596705633045932 55.68848094631254))
monumenter.49,51827,Kennedy egen,366,481,726066.613256,6177312.453177,12.596755,55.688832,,MULTIPOINT ((12.596754697088485 55.68883225438193))
monumenter.50,51828,Thomas Dinesen,372,489,726073.518284,6177293.065004,12.596848,55.688655,Ja,MULTIPOINT ((12.596848333665731 55.68865517219982))
monumenter.51,52029,Frivillige og faldne,70,124,725599.781167,6177574.672874,12.589559,55.691401,Ja,MULTIPOINT ((12.589559391849761 55.69140091262717))
monumenter.52,52030,Vore faldne,227,265,725968.056338,6177361.25869,12.59523,55.689316,Ja,MULTIPOINT ((12.59523031441327 55.68931580622877))
monumenter.53,52031,Efter badet,46,98,726204.332935,6177806.038338,12.599348,55.693194,Ja,MULTIPOINT ((12.599348121673806 55.69319441852874))
monumenter.54,52032,Egetræ til minde om 60-året for besættelsens ophør,342,441,726066.559378,6177285.164989,12.596731,55.688588,Nej,MULTIPOINT ((12.596731350235341 55.68858756740995))
monumenter.55,52033,Kaj Birksted,352,463,726070.86858,6177286.957466,12.596801,55.688602,Ja,MULTIPOINT ((12.596801235772942 55.688601635413946))
monumenter.56,74623,,,,726352.455145,6173316.135392,12.597998,55.652861,,MULTIPOINT ((12.5979981179411 55.652861345660035))
monumenter.57,75764,Sten med indskrift,257,292,721229.743033,6174072.578724,12.517353,55.662004,Nej,MULTIPOINT ((12.517352719274296 55.66200361502802))
monumenter.58,75765,Sten med indskrift,257,292,721225.950711,6174074.258181,12.517294,55.66202,Nej,MULTIPOINT ((12.517293904542978 55.66202040346622))
monumenter.59,75766,Sten med indskrift,257,292,721227.305112,6174078.321383,12.517319,55.662056,Nej,MULTIPOINT ((12.517318664651432 55.66205622780174))
monumenter.60,75767,Sten med indskrift,257,292,721221.724981,6174078.538087,12.51723,55.662061,Nej,MULTIPOINT ((12.517230307450664 55.66206071129484))
monumenter.61,75763,Pladsudsmykning,257,292,721228.353621,6174069.096039,12.517328,55.661973,Nej,MULTIPOINT ((12.517327871159987 55.66197301300091))
monumenter.62,64986,Zodiac,274,311,724134.667732,6175710.170322,12.564775,55.675359,Nej,MULTIPOINT ((12.564775354575373 55.67535866212144))
monumenter.63,61277,,,,724616.627654,6176205.265754,12.572829,55.679576,,MULTIPOINT ((12.572829213551088 55.679576038940596))
monumenter.64,61578,Sportspige,148,197,726624.737241,6173141.091423,12.602172,55.651165,Ja,MULTIPOINT ((12.602172311035286 55.651164764199656))
monumenter.65,64971,Nulpunkt Vesterport,79,135,724366.746665,6175775.061427,12.568511,55.675833,Ja,MULTIPOINT ((12.568511495180218 55.67583346960638))
monumenter.66,61611,H.C. Andersen,192,235,724407.424966,6175719.798486,12.569112,55.675319,Ja,MULTIPOINT ((12.569111890833863 55.67531908236389))
monumenter.67,61612,Dragespringvandet,112,164,724371.77767,6175760.874824,12.56858,55.675704,Ja,MULTIPOINT ((12.568579742452597 55.67570392059072))
monumenter.68,61613,Landsoldaten og den lille hornblæser,55,108,724282.636327,6175862.028557,12.567248,55.676652,Ja,MULTIPOINT ((12.567247703364998 55.6766522324274))
monumenter.69,61614,De syv aksler,264,299,724097.497739,6175789.63965,12.56425,55.676088,Ja,MULTIPOINT ((12.5642503403861 55.67608849402053))
monumenter.70,61615,Niels W. Gade,154,200,725309.911388,6176535.86947,12.584104,55.68222,Nej,MULTIPOINT ((12.584104110012913 55.68221972891421))
monumenter.71,61616,H.C. Ørsted,12,460,724267.541395,6176324.099788,12.567386,55.680803,Ja,MULTIPOINT ((12.567385722079058 55.68080305476216))
monumenter.72,61617,Herman Trier,119,171,723466.574243,6176480.177084,12.5548,55.682572,Ja,MULTIPOINT ((12.554799531525772 55.68257197210291))
monumenter.73,61618,Druknesten,287,327,723530.965274,6176595.365628,12.555915,55.683575,Ja,MULTIPOINT ((12.555915464922272 55.68357536107776))
monumenter.74,61619,Lille pige med krukke,103,156,720801.330623,6177517.666557,12.513327,55.693096,Ja,MULTIPOINT ((12.513327207677275 55.69309582083512))
monumenter.75,61620,Latent energi,204,246,720325.55619,6177832.580827,12.506026,55.696136,Ja,MULTIPOINT ((12.506025803162753 55.69613631879692))
monumenter.76,61621,Vinge,336,432,720394.243667,6177953.602386,12.507214,55.69719,Nej,MULTIPOINT ((12.507213822413924 55.697190523960664))
monumenter.77,61622,Pilen,362,473,723271.828157,6178419.260605,12.553287,55.700051,Nej,MULTIPOINT ((12.553287039532695 55.70005147938198))
monumenter.78,61623,Bryderne,24,71,724170.89371,6176188.409263,12.565741,55.679631,Ja,MULTIPOINT ((12.565740860532989 55.67963079975473))
monumenter.79,61627,Firbensdræberen,26,74,724074.518774,6176230.504995,12.564246,55.680053,Ja,MULTIPOINT ((12.564245585794788 55.68005278688824))
monumenter.80,61628,Storkespringvandet,105,158,725043.818542,6176144.692884,12.57956,55.678835,Ja,MULTIPOINT ((12.57955973033944 55.67883508393215))
monumenter.81,61629,Tycho Brahe,89,145,724800.224991,6176408.824799,12.57591,55.681317,Ja,MULTIPOINT ((12.575909952066304 55.68131659722533))
monumenter.82,61631,Vandkunst,222,261,724803.53695,6176237.150896,12.575822,55.679775,Ja,MULTIPOINT ((12.57582188519421 55.679775508412796))
monumenter.83,61632,Spejl og fortætning,303,342,724742.148584,6175231.022358,12.574024,55.670781,Ja,MULTIPOINT ((12.574023823706455 55.67078102743611))
monumenter.84,61633,Absalon,63,117,725074.050371,6176049.15605,12.579961,55.677964,Ja,MULTIPOINT ((12.579961199583472 55.67796431382497))
monumenter.85,61634,Frederik VII,61,115,725165.102214,6175896.054002,12.581281,55.676549,Ja,MULTIPOINT ((12.581280674304608 55.67654911678372))
monumenter.86,61635,Niels Juel,62,116,725454.780104,6176044.341432,12.586,55.677745,Ja,MULTIPOINT ((12.585999728742465 55.67774456927027))
monumenter.87,61636,Mindeanker,173,57,725534.984063,6176369.61189,12.58754,55.680624,Ja,MULTIPOINT ((12.587539924186457 55.68062429547278))
monumenter.88,61637,Satyr med klangbækkener,22,69,724121.330013,6176226.76648,12.564986,55.679998,Ja,MULTIPOINT ((12.56498552016061 55.679997661137534))
monumenter.89,61638,Nilen,31,20,724071.101736,6176895.3665,12.564734,55.686017,Ja,MULTIPOINT ((12.564734317281733 55.68601685213498))
monumenter.90,61639,Tiberen,32,84,724098.634516,6176948.744224,12.565215,55.686483,Ja,MULTIPOINT ((12.565214989401769 55.6864828381006))
monumenter.91,61640,Siddende unge mennesker,142,190,723934.395061,6176996.579384,12.562647,55.686988,Ja,MULTIPOINT ((12.562646799763186 55.686987595997316))
monumenter.92,61641,Liggende figur,255,290,724252.788457,6177488.743011,12.568104,55.691254,Ja,MULTIPOINT ((12.568103628994766 55.69125436515973))
monumenter.93,61642,Fredens port,251,285,724327.913651,6177615.65449,12.5694,55.692358,Ja,MULTIPOINT ((12.569400170377502 55.692357794723264))
monumenter.94,61643,Omphalos,304,343,724561.300948,6177943.175194,12.573374,55.695187,Ja,MULTIPOINT ((12.573373862489774 55.69518707195215))
monumenter.95,61644,Georg Brandes,277,316,724939.933037,6177080.983529,12.578679,55.68728,Ja,MULTIPOINT ((12.578678532704298 55.6872797486874))
monumenter.96,61645,H.C. Andersen,64,118,725132.838015,6176904.623336,12.581596,55.685609,Ja,MULTIPOINT ((12.581596089664776 55.68560877547026))
monumenter.97,61646,Jeanne d'Arc,16,53,724209.843359,6176335.922671,12.56648,55.680936,Ja,MULTIPOINT ((12.566479583518575 55.68093572170363))
monumenter.98,61647,Hvilende satyr,28,104,724321.734892,6176385.891645,12.568296,55.681332,Ja,MULTIPOINT ((12.568296407344295 55.68133217553137))
monumenter.99,61648,Jødernes flugt,230,267,724339.803825,6176631.692905,12.568784,55.683528,Ja,MULTIPOINT ((12.568784174711498 55.683528169270936))
monumenter.100,61649,Drukken faun,6,38,723682.243536,6176381.611497,12.558143,55.681589,Ja,MULTIPOINT ((12.55814252937992 55.68158874149511))
monumenter.101,61650,Indagine nr. 70,306,345,723779.142699,6176325.954321,12.559635,55.681045,Ja,MULTIPOINT ((12.55963519248997 55.6810449657203))
monumenter.102,61651,Skulptur,254,288,724127.40305,6177322.033077,12.565977,55.689817,Ja,MULTIPOINT ((12.565976703072497 55.68981721297881))
monumenter.103,61652,Effort commun,256,291,724580.783132,6177972.654812,12.573707,55.695442,Ja,MULTIPOINT ((12.573707348270117 55.69544242933438))
monumenter.104,61653,Bjørnespringvandet,111,29,724495.957898,6175706.689179,12.570506,55.675161,Nej,MULTIPOINT ((12.570506185902673 55.67516061225018))
